estate_name,long,lat,avg_price
普天居贤院,114.190475,30.525092,14606
江城国际,114.242964,30.523829,15861
新阳广场,114.206065,30.537155,12421
人信太子湾,114.189511,30.512893,15388
观澜外校城,114.196532,30.519035,16796
米兰小镇东区,114.203655,30.530993,15942
金色港湾双湖泊岸,114.197511,30.519152,15937
金色港湾一期,114.182578,30.520484,15508
金色港湾三期,114.185251,30.522597,16321
城南春晓,123.423996,41.692062,7747
富邦壹品天城,123.40494,41.679322,6790
华新名筑,123.464875,41.711459,8571
绿城全运村翡翠园B区,123.474716,41.686007,14654
其仕盛和祥,123.560898,41.781189,11849
绿色家园,123.52441953363,41.697651549108,3974
雍熙金园,123.514637,41.755955,7975
红星MOMA新程,123.450057,41.741669,8490
绿城全运村百合苑B区,123.477745,41.688992,12594
恒大江湾,123.557043,41.777913,7940
金地长青湾,123.517489,41.760064,14010
伊湾尊府,123.49526,41.746784,8643
金地长青湾·天阅,123.524779,41.759092,14215
泰荣湾,123.532459,41.752356,10128
艺术家园,123.47505,41.750569,7590
博信双E港,123.47174,41.713712,8487
浦江苑一期,123.452886,41.748469,9817
府城铭邸,123.447368,41.685785,8650
浦江苑御品,123.443123,41.743681,11616
绿城沈阳全运村·百合苑A区,123.475048,41.6881,12758
富腾国际,123.463427,41.749525,7358
月星中央公园,123.474207,41.70952,8410
荣盛紫提东郡,123.560109,41.775746,8519
隆河谷,123.425117,41.703467,11409
美地庄园,123.521332,41.676838,8275
绿城全运村锦兰苑A区,123.479316,41.683306,13630
新华国际公寓,123.465362,41.752216,8338
月星国际城,123.476539,41.708121,8486
华发岭南荟,123.494034,41.744016,10950
浦江盛景湾,123.451597,41.748819,13067
格林英郡,123.398559,41.730947,9614
金地艺境,123.571958,41.797654,12307
世纪新城五期,123.456192,41.732036,6047
金水花城二期,123.475267,41.753766,9729
金地滨河国际·上城,123.520843,41.754931,12304
同方世纪大厦,123.46439,41.724226,7573
正大江南水乡一期,123.504537,41.747648,8404
在水一方西园,123.51022525032,41.757833370531,7198
慧缘馨村,123.496869,41.750217,8473
河畔新城一期,123.48111883479,41.754452824095,11162
河畔新城五期,123.484189,41.750119,11986
在水一方东园,123.51423563822,41.758384652563,7747
沈阳奥体万达公馆,123.465999,41.739837,13182
格林馨港湾,123.502126,41.750895,11460
金地檀府,123.464905,41.719693,14302
文华街三号院,123.529041,41.752946,8462
新华佰代宜居,123.449179,41.734451,9841
名流印象一期,123.476245,41.741305,9459
世纪枫景汇,123.468878,41.732996,9720
香堤湾,123.508816,41.758693,8990
坤泰新界,123.482471,41.744515,7984
金地长青湾·丹陛,123.521705,41.758787,14016
名流印象三期,123.474805,41.739645,9785
浦江御景湾,123.440301,41.742765,12690
亿丰南奥国际,123.474992,41.742712,9413
金地滨河国际,123.520654,41.753558,10952
塞纳家园,123.509777,41.753184,8524
首创光和城,123.472774,41.705325,8915
金水花城一期,123.475347,41.756152,7243
文澜苑北区,123.48431258315,41.736824152241,5574
旭辉御府,123.453046,41.695349,10142
信达万科城(理想城),123.445468,41.698267,6748
绿城全运村翡翠园A区,123.474748,41.685916,16643
融大浑河湾,123.446417,41.737928,11092
左岸慧晶,123.490719,41.756015,11808
荣盛爱家郦都,123.439604,41.739927,11975
瑞宝国际花苑,123.458249,41.747051,9085
德馨苑,123.464471,41.750688,5916
金地棕榈岛,123.522785,41.762756,12353
伊丽雅特湾二期,123.444894,41.741181,11822
盛世园田居,123.51458,41.701128,6294
河畔新城四期,123.481664,41.750105,11164
伊丽雅特湾一期,123.448191,41.745028,12029
亚泰国际花园,123.4498,41.721639,7331
阳光新嘉园,123.42782062842,41.701458667287,5803
唯美品格,123.441889,41.712456,8238
河畔新城二三期,123.48475007409,41.754085813064,9537
名流公馆,123.433503,41.741064,12976
佳园新村,123.45645289032,41.744266713921,7067
伊丽雅特湾三期,123.448127,41.743086,8939
绿城全运村锦兰苑B区,123.48325,41.683697,15435
富都丽景,123.4896009553,41.7531457241,8870
政发物业,123.45629632698,41.746050485188,7085
盛天家苑,123.429339,41.691045,4455
廊桥国际,123.465254,41.710431,6882
富力国际别墅,123.544423,41.652865,13775
玫瑰园,123.524436,41.674953,6929
